병/의원명,전화번호,주 소 지 정보,위도,경도
365내과의원,031-233-2878,"경기도 수원시 영통구 봉영로 1569, (영통동, 뉴월드프라자 402,403호)  ",37.2520637842,127.0710226969
365늘봄메디칼의원,031-461-3119,"경기도 군포시 군포첨단산업2로 4, (부곡동) 티타워 2,3층",37.3258026366,126.9403251406
365늘봄메디칼의원,031-510-7575,"경기도 남양주시 다산지금로 131, (다산동) 다산지금지구 근생8-3 3~5층",37.6011741395,127.1744049562
365다솜의원,031-981-7520,"경기도 김포시 김포한강9로 109, (구래동)  2~4층 ",37.6465636761,126.6251821081
365더즐거운의원,031-355-0300,"경기도 화성시 꽃내음1길 19-30, (새솔동)  4,5층 ",37.2826567111,126.8185188004
365드림의원,031-364-8015,"경기도 안산시 단원구 선부광장1로 56, (선부동) 3층 301,308호일부,309호",37.3365953473,126.8107222615
365드림의원,031-761-1365,"경기도 광주시 광주대로 35, (경안동) 황백빌딩 4,7,8층",37.4097399096,127.2602100781
365디케이의원,031-904-1171,"경기도 남양주시 별내중앙로 34, (별내동) 7층",37.6461711231,127.1253859295
365벗이비인후과의원,032-322-7585,"경기도 부천시 길주로 183, (중동, 영라이프빌딩) 303,307호",37.5052736668,126.7629528601
365삼성i소아청소년과의원,031-945-7545,"경기도 파주시 교하로 87, (목동동, 삼성프라자) 8층 365삼성i소아청소년과의원",37.7276351585,126.7339276317
365삼성메디컬의원,031-699-3011,"경기도 하남시 미사강변한강로 319, (망월동)  천지인파크 401~406호, 5층 전체호 ",37.5622541989,127.2000516646
365서울가정의학과의원,031-319-6429,"경기도 시흥시 배곧1로 27-15, (정왕동, 한라비발디캠퍼스) 2층 201~202호",37.3653425551,126.7127678318
365서울내과의원,031-593-7516,"경기도 남양주시 늘을3로 65-12, (호평동, 금강프라자) 403호",37.6602475900,127.2478898685
365소아청소년과의원,031-883-1237,"경기도 여주시 세종로 19, (홍문동) 2층 202호",37.2960192865,127.6372558425
365소아청소년과의원,031-981-3650,"경기도 김포시 김포한강4로 113, (장기동, 신한프라자) 503,504호",37.6439380030,126.6683822357
365스마트의원,031-268-7234,"경기도 수원시 장안구 만석로19번길 25-10, (천천동, 롯데마트) 3층 365스마트의원",37.2961284439,126.9824006671
365스마트의원,031-635-0365,"경기도 이천시 구만리로 191, (안흥동, 롯데캐슬 골드스카이) 4층",37.2742784111,127.4544472079
365아이랑소아청소년과의원,031-273-0203,"경기도 수원시 영통구 중부대로 604, (영통동, 수원영통리슈빌스카이오피스텔) 1층",37.2672944613,127.0813923409
365에스와이(SY)서울연세이비인후과의원,031-704-5275,"경기도 성남시 분당구 서현로210번길 20, (서현동, 코코프라자) 3층",37.3858574301,127.1240369706
365연합의원,031-611-2119,"경기도 평택시 송탄로40번길 79-16, (이충동) ",37.0520983574,127.0573064405
365열린의원,02-898-3655,"경기도 광명시 양지로 16, (일직동, 광명역 써밋플레이스) B1층 56~61호",37.4171185643,126.8808229770
365열린의원,031-405-0365,"경기도 안산시 상록구 시낭북로4길 1, (부곡동) 2층",37.3352751402,126.8581664148
365위례연세내과의원,031-722-0055,"경기도 성남시 수정구 위례동로 153, (창곡동, 에이플타워) 4층 404호",37.4735118824,127.1500050364
365일열린소사벌연합의원,031-692-0365,"경기도 평택시 평남로 951, (비전동) 디에이치빌딩 1-3층",37.0052741572,127.1034228917
365잘봄내과의원,031-8028-0782,"경기도 하남시 신평로 45, (신장동) SN 타워 3층",37.5379717967,127.2043614815
365장편한호내과의원,031-502-0365,"경기도 안산시 상록구 샘골로 150, (본오동) 동성빌딩 202,203호",37.2972122426,126.8633744910
365종합의원,031-378-0365,"경기도 오산시 경기대로 133, (원동) 오렌지팩토리아울렛 1층",37.1367483692,127.0727482611
365키즈맘의원,031-365-3735,"경기도 시흥시 승지로59번길 12, (능곡동) 시티타워 3층 302~303호",37.3688929302,126.8090334532
365키즈소아청소년과의원,031-423-5575,"경기도 의왕시 포일로 43, (내손동, 대림프라자 402호 ) ",37.3900446690,126.9774299443
365편안한내과의원,02-2612-3365,"경기도 광명시 오리로 976, (광명동) 2층",37.4795162768,126.8548856370
365편한내과의원,031-477-3654,"경기도 군포시 군포역1길 10, (당동) 3층",37.3531861724,126.9466474986
365프렌즈내과의원,031-731-6614,"경기도 성남시 수정구 위례동로 147, (창곡동, 위례건아타워) 5층 505호",37.4730826015,127.1501075052
365플러스내과의원,031-796-8288,"경기도 하남시 미사강변동로84번길 39, (망월동)  2~5층 205~7 302 305~6 401~407 506~7호 ",37.5634045650,127.1952766265
365플러스의원,032-345-3657,"경기도 부천시 경인로 532, (괴안동) 홈플러스 부천소사점 3층",37.4848682902,126.8142944089
365플러스이비인후과의원,031-898-3654,"경기도 용인시 기흥구 죽전로 53, (보정동, 야후빌딩) 404호",37.3207383262,127.1146667536
365힐링의원,031-203-3650,"경기도 수원시 영통구 영통로 151, (망포동)  2층 ",37.2409446448,127.0552662981
365힐링의원,031-8023-5365,"경기도 용인시 기흥구 죽전로 49, (보정동) 씨티프라자 301호",37.3207320482,127.1142639752
3대정이비인후과의원,031-709-8400,"경기도 성남시 분당구 야탑로 95, (야탑동, 세신옴니코아) 2층",37.4101776607,127.1292908060
B.M산부인과의원,031-501-0660,"경기도 안산시 상록구 광덕1로 376, (이동, 한대빌딩) 4층",37.3079124697,126.8514655472
Dr.배 가정의학과의원,070-8824-4846,"경기도 이천시 부발읍 경충대로 2096-4, 209호",37.2521071817,127.4903149211
Dr리더스내과의원,031-957-7517,"경기도 파주시 미래로 369-13, (동패동, 한울프라자) 503호",37.7110715992,126.7452938893
OK의원,031-337-2171,"경기도 용인시 처인구 양지면 남평로 234, 4층",37.2281849694,127.3066071581
SH통증제로신경외과의원,031-851-0715,"경기도 의정부시 천보로 38, (민락동) 4층 405호",37.7440361406,127.0968596829
SK메디모아소아청소년과의원,031-302-9933,"경기도 수원시 장안구 이목로 24-9, (정자동) ",37.3093338322,126.9848709175
SOK 속편한내과의원,031-959-2288,"경기도 파주시 미래로 375, (동패동) 삼성메디컬 프라자 502, 503, 504호",37.7114039101,126.7458517490
SOK속편한내과의원,032-667-1088,"경기도 부천시 경인로 231, (심곡본동)  202호,202호,203일부호 ",37.4834838609,126.7812686312
SOK수지속편한내과의원,031-264-5088,"경기도 용인시 수지구 손곡로 95, (동천동, 송란빌딩) 308,309,310호",37.3359655264,127.0918094730
The서울아산내과의원,031-529-1119,"경기도 남양주시 진접읍 장현천로 28, (우경메디프라자) 8층 802호",37.7192044121,127.1838793525
WE(위)조은내과의원,031-717-0675,"경기도 광주시 오포읍 태재로 107, 3층",37.3585249892,127.1612653993
e-서울이비인후과의원,031-387-5075,"경기도 안양시 동안구 관평로 314, (관양동)  2층 ",37.4043770875,126.9575903402
e-서울이비인후과의원,031-706-0270,"경기도 성남시 분당구 황새울로342번길 11, (서현동, 금호리빙스텔)  401호 402호 ",37.3862307625,127.1236560341
가능성모의원,031-826-9567,"경기도 의정부시 호국로 1125, (가능동) 2층",37.7428565478,127.0288563651
가능제일마취통증의학과의원,031-876-8795,"경기도 의정부시 신촌로 65, (가능동) ",37.7505589342,127.0417613320
가람이비인후과의원,031-792-5262,"경기도 하남시 신평로 62, (신장동, 태산빌딩)  3층 ",37.5389391414,127.2054850809
가산제일의원,031-541-8122,경기도 포천시 가산면 가산로 372 ,37.8474806275,127.1903378030
가온내과의원,031-317-7588,"경기도 시흥시 승지로59번길 12, (능곡동) 시티타워 4층 406~409호",37.3688929302,126.8090334532
가온삼성가정의학과의원,031-945-0050,"경기도 파주시 와석순환로 431, (와동동, 신운정프라자 ) 302호",37.7236708551,126.7532119608
가자연세병원,031-998-8009,"경기도 김포시 돌문로 43, (사우동) 2층",37.6188618032,126.7178281803
가정이편한가정의학과의원,031-284-0775,"경기도 용인시 기흥구 덕영대로2077번길 16, (영덕동, 기흥대정프라자) 302호",37.2682046945,127.0966124767
가족사랑의원,02-2611-3100,"경기도 광명시 도덕로 52, (광명동, 청송빌딩) 3층",37.4688141740,126.8534948780
가좌우리의원,031-921-3215,"경기도 고양시 일산서구 가좌3로 29, (가좌동) 1층",37.6873605536,126.7190911266
가톨릭대학교 성빈센트병원,031-1577-8588,"경기도 수원시 팔달구 중부대로 93, (지동)  ",37.2779235166,127.0274497889
가톨릭대학교부천성모병원,032-340-2639,"경기도 부천시 소사로 327, (소사동) 가톨릭대학교 부천성모병원",37.4874966044,126.7930327792
가톨릭대학교의정부성모병원,031-1661-7500,"경기도 의정부시 천보로 271, (금오동)  의정부성모병원 ",37.7586506099,127.0779505877
가톨릭성모내과의원,031-473-5005,"경기도 안양시 만안구 안양로 461-1, (석수동)  1층 ",37.4110476230,126.9108213209
가톨릭외과의원,032-654-6661,"경기도 부천시 부흥로 440, (심곡동) ",37.4874066592,126.7880886833
가톨릭운정병원,031-949-8000,"경기도 파주시 책향기로 830, (와동동) 3~4층",37.7293297369,126.7629057891
가평삼성의원,031-585-3658,경기도 가평군 가평읍 석봉로 198  ,37.8326550492,127.5100941349
갈매아이웰소아청소년과의원,031-572-3651,"경기도 구리시 갈매순환로 194, (갈매동, 신영프라자) 3층 302,303호",37.6366378749,127.1217994876
갈매우리내과의원,031-573-1315,"경기도 구리시 갈매순환로 7, (갈매동) 에이스프라자 3층 1호",37.6259722391,127.1117332274
감일든든한내과의원,02-485-0075,"경기도 하남시 감일백제로 105, (감이동) 301~303호",37.5046789632,127.1612309089
강남병원,031-300-0234,"경기도 용인시 기흥구 중부대로 411, (신갈동)  강남병원 ",37.2735436959,127.1113137747
강남뷰베스트의원,031-692-2790,"경기도 평택시 중앙2로 25, (평택동)  3층, 5층 ",36.9917517671,127.0898438956
강남성모내과의원,031-555-6600,"경기도 구리시 건원대로34번길 25, (인창동, 신아월드코아)  306~7호 ",37.6045813769,127.1417371153
강남성모이비인후과의원,031-376-5005,"경기도 오산시 수청로 193, (금암동, p&p세교프라자) 303호",37.1766584870,127.0454959206
강남소아청소년과의원,031-681-6555,"경기도 평택시 안중읍 안현로서6길 68,   3층",36.9847807341,126.9216346659
강남수내과의원,031-406-7585,"경기도 안산시 상록구 석호로 288, (본오동) 4층",37.2933702532,126.8625452920
강남신경과의원,031-251-3111,"경기도 수원시 팔달구 동말로 81, (화서동,2층) ",37.2789609613,127.0031377191
강남임내과의원,031-275-7577,"경기도 용인시 기흥구 강남동로 10, (구갈동, 강남피아 205호) ",37.2712306296,127.1281569495
강내과의원,02-2611-3777,"경기도 광명시 오리로 941, (광명동, 명성빌딩) 3층",37.4780192296,126.8582827110
강내과의원,031-203-7585,"경기도 화성시 영통로61번길 6, (반월동, 제일프라자) ",37.2354960118,127.0611487423
강내과의원,031-445-7585,"경기도 안양시 동안구 관악대로 72, (비산동, 동화빌딩)  3층 ",37.3976383959,126.9323307776
강내과의원,031-675-2255,"경기도 안성시 금산길 8, (연지동) 2층",37.0113040487,127.2709234073
강내과의원,031-944-4415,"경기도 파주시 중앙로 303, (금촌동) 재성빌딩 2층",37.7626615329,126.7753693750
강내과의원,032-654-8275,"경기도 부천시 장말로 202, (상동) 2층",37.4926864945,126.7643226738
강동석정형외과의원,031-821-2597,"경기도 의정부시 시민로 461, (용현동)  1,2층 ",37.7312310672,127.0842518059
강병원,031-535-2119,"경기도 포천시 포천로 1570, (신읍동) ",37.8981464790,127.2046906462
강소아청소년과의원,031-498-7577,"경기도 시흥시 배곧4로 32-9, (정왕동) 골든프라자 2층 206호",37.3767412292,126.7271578961
강소아청소년과의원,031-8015-9720,"경기도 화성시 동탄지성로 139, (능동) 양진빌딩 1층 105호",37.2093208913,127.0601426778
강앤강내과의원,031-894-7585,"경기도 의정부시 평화로 540, (의정부동) 퍼시픽타워 4층",37.7400760419,127.0477800683
강양욱내과의원,031-233-3552,"경기도 수원시 권선구 정조로 576, (세류동) ",37.2602637406,127.0132832254
강영목정형외과의원,02-3666-8275,"경기도 광명시 광복로 62, (철산동, 수지빌딩) 2-4층",37.4896231671,126.8654029908
강영찬가정의학과의원,031-254-2722,"경기도 수원시 장안구 창룡대로 185, (연무동) 2층",37.2925280107,127.0303798872
강의원,031-919-2568,"경기도 고양시 일산동구 중앙로1275번길 38-10, (장항동, 우림로데오스위트) 209호",37.6599144523,126.7708926490
강이비인후과의원,031-846-3462,"경기도 의정부시 행복로 24,  (의정부동) 2층",37.7406767477,127.0494559543
강이비인후과의원,031-944-5203,"경기도 파주시 문화로 61, (금촌동) ",37.7598553967,126.7759886309
강이비인후과의원,032-654-4925,"경기도 부천시 중동로 166, (중동, 복사골 건영아파트2차상가) 3층",37.4935537752,126.7674920591
강정협내과의원,031-377-8081,"경기도 오산시 성호대로 89, (오산동, 세명프라자) 204호",37.1491423682,127.0714099138
강천식소아과의원,031-444-5565,"경기도 안양시 동안구 임곡로 62, (비산동, 임곡주공프라자) 303호",37.4048279070,126.9337518421
강혜승산부인과의원,031-972-2255,"경기도 고양시 덕양구 화신로260번길 57, (화정동, 요진타워 307,308호) ",37.6336223707,126.8327458860
건강드림내과의원,031-564-3838,"경기도 남양주시 다산순환로 350, (다산동) 5층 508,509,510호",37.6256261548,127.1553701617
건강드림내과의원,031-666-8275,"경기도 평택시 지산로 64, (지산동) 2,3,4,5층",37.0796796785,127.0620609543
건강드림내과의원,031-986-6556,"경기도 김포시 풍무로 76, (풍무동, 오성프라자) 4층 401호",37.6024270314,126.7219791725
건강한가족의원,031-377-5355,"경기도 오산시 성호대로 121, (오산동, 월드타워) 302호",37.1490540157,127.0748477879
건강한내과의원,031-658-2335,"경기도 평택시 서동대로 3879, (용이동, 제이플러스)  5층 ",36.9942774154,127.1378516655
건강한내과의원,031-8003-5975,"경기도 화성시 동탄솔빛로 68, (반송동)  계림개발 301호 ",37.1944238438,127.0749350133
건강한내과의원,032-675-5588,"경기도 부천시 역곡로 470, (고강동) ",37.5265598536,126.8163335553
건강한문내과의원,032-326-7582,"경기도 부천시 길주로 191, (중동, 금영프라자) 301호",37.5051471458,126.7638875556
건강한미래항외과의원,031-414-8275,"경기도 안산시 단원구 광덕2로 185, (고잔동) 금성센터빌딩 201~203호",37.3099220585,126.8313693633
건강한세상의료소비자생활협동조합 시흥참조은의원,031-315-1510,"경기도 시흥시 은계로 347, (대야동) 3층 303~305,306호일부호",37.4500036226,126.7949972367
건강한정형외과의원,031-411-7333,"경기도 시흥시 목감우회로 51, (목감동)  동한메티컬프라자 206호, 302~304호 ",37.3822556593,126.8619582163
건누리병원,031-909-0300,"경기도 고양시 일산서구 강성로 275, (대화동) 스타타워빌딩 2층~8층",37.6772496831,126.7467267759
걸리버소아청소년과의원,031-996-9030,"경기도 김포시 걸포2로 33, (걸포동) 501호",37.6332939788,126.7036917803
경기도립노인전문 평택병원,031-669-9988,"경기도 평택시 삼남로 312, (도일동) ",37.0538713993,127.0976084593
경기도립노인전문동두천병원,031-860-4114,"경기도 동두천시 탑신로 536, (탑동동)  ",37.9008335456,127.1360272318
경기도립노인전문시흥병원,031-500-7378,"경기도 시흥시 하중로 285, (광석동) 경기도립노인전문 시흥병원",37.3862808944,126.8070982044
경기도립노인전문용인병원,031-288-0404,"경기도 용인시 기흥구 중부대로 940, (상하동) ",37.2503964113,127.1555768742
경기도의료원 수원병원,031-888-0150,"경기도 수원시 장안구 수성로245번길 69, (정자동) ",37.2918594997,126.9963807499
경기도의료원 안성병원,031-8046-5175,"경기도 안성시 남파로 95, (당왕동) ",37.0173530929,127.2603668166
경기도의료원 이천병원,031-630-4200,"경기도 이천시 경충대로 2742, (관고동)  ",37.2828228641,127.4332382568
경기도의료원의정부병원,031-828-5000,"경기도 의정부시 흥선로 142, (의정부동)  ",37.7410881212,127.0425536020
경기도의료원파주병원,031-940-9100,"경기도 파주시 중앙로 207, (금촌동) 경기도립의료원파주병원",37.7548796656,126.7796357815
경기도의료원포천병원,031-539-9114,"경기도 포천시 포천로 1648, (신읍동) ",37.9031486670,127.1974830730
경기요양병원,032-351-2141,"경기도 부천시 부천로 44, (심곡동) 지하1층 일부,1층일부,2~4층호",37.4882434145,126.7839544539
경기웰니스요양병원,031-828-1800,"경기도 양주시 평화로1479번길 45, (덕계동)  경기웰니스요양병원 ",37.8224673926,127.0466620119
경성의원,031-353-1163,경기도 화성시 향남읍 평4길 6-5 ,37.1303850647,126.9096872795
경인의원,032-326-1843,"경기도 부천시 길주로 219, (중동, 드림빌딩) 208호",37.5047705308,126.7667926092
경혜신소아과의원,031-485-1063,"경기도 안산시 단원구 예술대학로 83, (고잔동) 202호",37.3244124356,126.8371329651
경희닥터스의원,031-447-9909,"경기도 안양시 동안구 관악대로 103, (비산동)  103에비뉴 406호 ",37.3991502487,126.9354442452
경희동탄한방병원,031-8015-0306,"경기도 화성시 동탄솔빛로 57, (반송동) 삼성미즈빌딩 2,3,4층",37.1941132102,127.0735622883
경희메디칼의원,031-595-9151,"경기도 남양주시 금곡로 72, (금곡동)  센타프라자 5층 501(일부)호 ",37.6344723162,127.2111105843
계정이비인후과의원,031-758-7163,"경기도 성남시 수정구 수정로 121, (태평동) 계정이비인후과",37.4417376246,127.1337824419
계현정형외과의원,031-618-6600,"경기도 평택시 중앙로 296, (합정동)  ",36.9904649709,127.1155265815
고광섭내과의원,031-403-1482,"경기도 안산시 단원구 화랑로 358, (고잔동) 206호",37.3210005276,126.8274902069
고려가정의원,031-264-1504,"경기도 용인시 수지구 만현로 20, (상현동, 성산빌딩) 4층 401호",37.3141604894,127.0884435293
고려가정의원,031-484-6047,"경기도 안산시 단원구 인현중앙길 25, (고잔동, 삼두상가)  204-1,2호 ",37.3240988509,126.8198937019
고려가정의학과의원,031-459-8575,"경기도 군포시 군포로 567, (당동, 대창빌딩) 2층",37.3566414125,126.9467967559
고려대학교의과대학부속안산병원,031-412-4877,"경기도 안산시 단원구 적금로 123, (고잔동) ",37.3188584497,126.8249994664
고려드림내과의원,031-752-0067,"경기도 성남시 중원구 둔촌대로 84, (성남동) 7층 701호~704호",37.4297248673,127.1284765860
고려신경외과의원,031-482-5072,"경기도 안산시 단원구 화랑로 358, (고잔동, 자유센타)  213,214호 ",37.3210005276,126.8274902069
고려연합의원,031-468-8301,"경기도 안양시 만안구 장내로 83, (안양동) 2층",37.3951457032,126.9178028653
고려외과의원,031-693-5501,"경기도 용인시 기흥구 동백중앙로 283, (중동) 골드프라자 A동 404~406호",37.2780130791,127.1534878240
고려웰가정의학과의원,031-217-8871,"경기도 수원시 영통구 대학로 109, (이의동, 골드클래스5) 302호",37.3050939587,127.0471624926
고려웰니스의원,031-684-1800,"경기도 평택시 안중읍 안현로서8길 23, (동흥빌딩) 3층",36.9790826630,126.9227797107
고려의원,031-446-8001,"경기도 안양시 만안구 박달로 516-1, (박달동) 고려의원",37.4024312925,126.9100342697
고려의원,031-527-0933,"경기도 남양주시 진접읍 광릉내로 105, 3층",37.7463313218,127.2052307898
고려이비인후과의원,031-278-5932,"경기도 화성시 봉담읍 동화길 81-10, (상도프라자) 402호",37.2171844641,126.9586195555
고려이비인후과의원,031-559-5075,"경기도 남양주시 화도읍 경춘로 1992, (롯데마트) 202호",37.6501390859,127.3092960470
고려이비인후과의원,031-726-2500,"경기도 성남시 분당구 내정로17번길 2, (정자동, 한솔프라자) 4001호",37.3621361478,127.1144764043
고려재활의학과의원,031-676-9152,"경기도 안성시 중앙로 370, (석정동, 하평플리스) 2층",37.0076301993,127.2678947414
고려정성가정의학과의원,031-797-9540,"경기도 광주시 초월읍 경충대로 926, 926",37.3651052598,127.3114634689
고려정성의원,031-226-8575,"경기도 수원시 팔달구 세지로 148, (인계동,2층) ",37.2646611527,127.0209954175
고려정형외과의원,031-741-3100,"경기도 성남시 수정구 산성대로 517, (양지동) 2층",37.4574288876,127.1631639854
고려정형외과의원,031-969-3900,"경기도 고양시 덕양구 읍내로6번길 1-8, (고양동) 2,3,4층",37.7009570369,126.9025440398
고려정형외과의원,032-673-0156,"경기도 부천시 소사로 789, (원종동) ",37.5265896815,126.8045479811
고려중앙의원,031-742-8282,"경기도 성남시 수정구 논골로 7, (단대동) 2층",37.4548001056,127.1604584191
고려참이비인후과의원,031-821-5787,"경기도 양주시 고읍남로 1, (광사동, 힘찬프라자 301호) ",37.7956285977,127.0810020616
고려하나의원,02-899-1182,"경기도 광명시 안재로10번길 32, (하안동) ",37.4608617882,126.8748381326
고봉진내과의원,031-638-0991,"경기도 이천시 부발읍 경충대로2050번길 15-87,   이천클래시아테라스파크 2층 218~222호",37.2518913216,127.4913515296
고수련의원,031-457-7585,"경기도 안양시 동안구 포도원로 26, (호계동, 대림프라자) 3층",37.3620096104,126.9647874072
고양메디컬의원,031-819-7500,"경기도 고양시 일산동구 고봉로 795, (설문동) 2층",37.7259295615,126.7951553806
고양복지의료소비자생활협동조합꽃보다아름다운의원,031-976-0061,"경기도 고양시 일산동구 고봉로 278, (중산동, 성창빌딩)  2~3층 ",37.6840988863,126.7781142146
고양연세의원,031-964-5078,"경기도 고양시 덕양구 푸른마을로 6, (고양동, 고양 e PLAZA) 304호,312호",37.7089058064,126.9028871190
고양정신병원,031-969-0885,"경기도 고양시 덕양구 통일로1102번길 46, (내유동) ",37.7114936987,126.8545606774
고양휴메디병원,031-968-2020,"경기도 고양시 덕양구 원흥3로 6-17, (원흥동) 3층~7층",37.6477346297,126.8759213423
고운맘소아청소년과의원,031-894-7582,"경기도 양주시 옥정로 196, (옥정동) 파스텔시티 401호,402호일부",37.8189751570,127.0921401482
고운여성병원,032-665-0070,"경기도 부천시 부천로 110-1, (원미동) 2~6층",37.4940565716,126.7853647853
고운여성의원,031-573-7580,"경기도 남양주시 진접읍 해밀예당3로 60, (호평프라자) 401,402호",37.7151331857,127.1983883083
고유가정의학과의원,031-384-7176,"경기도 안양시 동안구 동안로 120, (호계동, 올림픽스포츠센터)  501~503호 ",37.3895593693,126.9522485986
고은맘소아청소년과의원,031-227-5275,"경기도 수원시 팔달구 일월로22번길 15, (화서동) ",37.2858656099,126.9806022592
고은맘소아청소년과의원,031-657-2821,"경기도 평택시 서재로 2, (동삭동, 한주빌딩)  302호 ",37.0098798240,127.0988015010
고은소아청소년과의원,031-879-0057,"경기도 의정부시 동일로 456, (신곡동, 박사빌딩)  301호 ",37.7289945059,127.0597507534
고잔명내과의원,031-402-7600,"경기도 안산시 단원구 고잔2길 45, (고잔동) 코스모프라자 8층",37.3179179875,126.8360988044
고잔연세내과의원,031-438-7585,"경기도 안산시 상록구 광덕1로 376, (이동, 한대빌딩) 304호",37.3079124697,126.8514655472
고잔연세소아청소년과의원,031-503-1119,"경기도 안산시 단원구 광덕대로 174, (고잔동, 월드타운) B동 503,507-2호",37.3119295387,126.8310370620
고잔우리들소아과의원,031-411-5005,"경기도 안산시 단원구 초지로 100, (초지동, 세종프라자) 305호",37.3077541178,126.8152221283
고잔이비인후과의원,031-411-5075,"경기도 안산시 단원구 광덕동로 55, (고잔동, 21세기프라자) 303,304호",37.3094024212,126.8323128834
고잔제일소아과의원,031-401-5990,"경기도 안산시 단원구 원포공원1로 49, (초지동, 태영타운) 201,202호",37.3024487409,126.8123051986
고잔하나이비인후과의원,031-486-9681,"경기도 안산시 단원구 광덕대로 174, (고잔동, 월드타운)  208호 ",37.3119295387,126.8310370620
고재성의원,031-901-2864,"경기도 고양시 일산동구 백석로 109, (백석동, 백송마을3단지아파트상가동 207호) ",37.6494145264,126.7891639574
고창걸이비인후과의원,031-848-3075,"경기도 양주시 삼숭로38번길 80, (삼숭동) 양주자이프라자 1상가 3층 고창걸이비인후과의원.",37.7960712856,127.1058290692
고촌성모의원,031-986-6799,"경기도 김포시 고촌읍 장차로 4,   2층",37.6024065397,126.7699750723
고촌이비인후과의원,031-996-1787,"경기도 김포시 고촌읍 김포대로 343,   지산빌딩 404호",37.6012673305,126.7698369134
고형기소아청소년과의원,031-706-1350,"경기도 성남시 분당구 장미로 139, (야탑동,  매화마을 공무원아파트상가) 201호",37.4148089803,127.1362770655
곡선연세가정의원,031-233-2240,"경기도 수원시 권선구 권광로27번길 62, (권선동, 삼천리아파트상가) 2층",37.2513877391,127.0245752320
공선희소아청소년과의원,032-346-2100,"경기도 부천시 부일로 753, (역곡동, 로하스타워) 302호",37.4866648291,126.8132786696
공앤송이비인후과의원,031-745-9509,"경기도 성남시 중원구 산성대로 530, (은행동) 3층",37.4580213634,127.1646792593
과천서울이비인후과의원,02-502-8080,"경기도 과천시 별양로 28, (원문동, 래미안 슈르) A동 3027-3033호",37.4211854985,126.9912426018
과천예일의원,02-507-7582,"경기도 과천시 별양상가1로 30, (별양동, 골든타워 404호~405호, 402호~403호 일부) ",37.4282811482,126.9933238012
곽가정의학과의원,031-697-8215,"경기도 성남시 중원구 도촌남로 27, (도촌동, 동강프라자)  2층 205호 ",37.4145124548,127.1506099076
곽내과의원,031-529-7582,"경기도 남양주시 오남읍 진건오남로 629-1, (진주상가) 217호",37.6892702402,127.2117288521
곽여성병원,031-752-1119,"경기도 성남시 수정구 수정로 91, (태평동) ",37.4407789620,127.1304625927
곽이비인후과의원,02-2619-1181,"경기도 광명시 광명로 829, (광명동, 백제빌딩) 2층",37.4734239510,126.8512836771
